id,name,slug,divisions_text
11101,815 Stateline WC,815-stateline,"Bantam 2025, Intermediate 2025, Novice 2025, Senior 2025, Girls Bantam 2025, Girls Intermediate 2025, Girls Novice 2025, Girls Senior 2025"
155,???,,"Senior 1981, Senior 1997"
5053,A & M Youth Wrestling,,"Novice 2011, Senior 2011, Novice 2013, Senior 2013, Novice 2014, Senior 2014"
1229,ADAMS JR COUGARS,,Novice 1995
858,ADAMS JR. HIGH,,Senior 1991
1794,ADDISON ANIMALS,,Senior 2001
1795,ADDISON ANIMALS (2),,Senior 2001
1046,ADDISON/INDIAN TRAIL,,Novice 1993
1324,AJ Junior Wildcats WC,aj-jr-wildcats,"Novice 1999, Novice 2002, Senior 2002, Novice 2005, Senior 2005, Novice 2008, Senior 2008, Novice 2009, Senior 2009, Novice 2011, Senior 2011, Novice 2012, Senior 2012, Novice 2013, Senior 2013, Novice 2014, Senior 2014, Novice 2015, Senior 2015, Novice 2016, Senior 2016, Novice 2017, Senior 2017, Novice 2018, Senior 2018, Novice 2019, Senior 2019, Novice 2020, Senior 2020, Novice 2022, Senior 2022, Bantam 2024, Intermediate 2024, Novice 2024, Senior 2024, Girls Bantam 2024, Girls Intermediate 2024, Girls Novice 2024, Girls Senior 2024, Bantam 2025, Intermediate 2025, Novice 2025, Senior 2025, Girls Bantam 2025, Girls Intermediate 2025, Girls Novice 2025, Girls Senior 2025"
3946,Academy Grapplers,,"Novice 2008, Senior 2008, Novice 2009, Senior 2009"
1372,Aces Wrestling Club,aces-wc,"Senior 1999, Novice 2001, Senior 2001, Novice 2002, Senior 2002, Novice 2004, Senior 2004, Novice 2005, Novice 2006, Senior 2006, Novice 2007, Senior 2007, Novice 2008, Senior 2008, Novice 2009, Senior 2009, Novice 2010, Senior 2010, Novice 2011, Senior 2011, Novice 2012, Senior 2012, Novice 2013, Senior 2013, Novice 2014, Senior 2014, Novice 2015, Senior 2015, Novice 2016, Senior 2016, Novice 2017, Senior 2017, Novice 2018, Senior 2018, Novice 2022, Senior 2022, Bantam 2024, Intermediate 2024, Novice 2024, Senior 2024, Girls Bantam 2024, Girls Intermediate 2024, Girls Novice 2024, Girls Senior 2024, Bantam 2025, Intermediate 2025, Novice 2025, Senior 2025, Girls Bantam 2025, Girls Intermediate 2025, Girls Novice 2025, Girls Senior 2025"
721,Addams Junior High WC,addams-jh,"Senior 1990, Senior 1991, Senior 1992"
87,Addison,,Senior 1977
1212,Addison Indian Tr,,Senior 1994
71,Addison Indian Trail,,"Senior 1976, Novice 1993, Senior 1995"
8328,Addison Street WC,,"Novice 2020, Senior 2020"
8695,Alber Athletics Wrestling Club,alber-athletics,"Novice 2022, Senior 2022, Novice 2023, Senior 2023, Bantam 2024, Intermediate 2024, Novice 2024, Senior 2024, Girls Bantam 2024, Girls Intermediate 2024, Girls Novice 2024, Girls Senior 2024, Bantam 2025, Intermediate 2025, Novice 2025, Senior 2025, Girls Bantam 2025, Girls Intermediate 2025, Girls Novice 2025, Girls Senior 2025"
1374,Aledo Bear Country WC,aledo-bear-country,"Senior 1999, Novice 2001, Senior 2001, Novice 2003, Senior 2003, Novice 2004, Senior 2004, Novice 2005, Novice 2006, Novice 2008, Senior 2008, Novice 2012, Senior 2012"
2400,Alleman Jr Pioneer WC,alleman,"Senior 2003, Novice 2004, Senior 2004, Novice 2005, Senior 2006, Novice 2007, Senior 2007, Novice 2008, Senior 2008"
